"CLE_PRODUIT";"PRNOM";"LIBELLE_DCI";"CODEUD";"LIBELUD"
12968;"LEVOFREE 0.05%, collyre, récipient unidose 0.3 mL";"LEVOCABASTINE";"gte";"goutte(s)"
20168;"NAABAK 19.6 mg, collyre, récipient unidose 0.4 mL";"SPAGLUMIQUE ACIDE";"gte";"goutte(s)"
6490;"TETRACAINE 1% THEA, collyre, récipient unidose 0.4 mL";"TETRACAINE";"rec_unidose";"récipient unidose"
3090;"FLUORESCEINE 0.5% FAURE, collyre, récipient unidose 0.4 mL";"FLUORESCEINE";"rec_unidos";"récipient(s) unidose"
3091;"FLUORESCEINE SODIQUE 500 mg/5 mL FAURE, sol inj, amp";"FLUORESCEINE";"amp";"ampoule(s)"
30810;"MIOSTAT 150 ug/1.5 mL, sol inj, flac";"CARBACHOL";"flac";"flacon(s)"
2133;"DIAMOX 250 mg, cpr séc";"ACETAZOLAMIDE";"cpr";"comprimé(s)"
2134;"DIAMOX 500 mg, pdr pr sol inj";"ACETAZOLAMIDE";"flac";"flacon(s)"
6737;"DORZOLAMIDE 2% ARROW, collyre, flac 5 mL";"DORZOLAMIDE";"flac c-gttes";"flacon compte-gouttes"
25356;"GELTIM LP 1 mg/g, gel ophtalmique, récipient unidose 0.4 g";"TIMOLOL";"rec_unidose";"récipient unidose"
25114;"GANFORT 0.3 mg/5 mg/mL, collyre, récipient unidose 0.4 mL";"TIMOLOL EN ASSOCIATION";"gte";"goutte(s)"
29308;"DORZOLAMIDE TIMOLOL 20 mg/5 mg/mL BGR, collyre, flac 5 mL";"TIMOLOL EN ASSOCIATION";"flac";"flacon(s)"
25423;"LATANOPROST TIMOLOL 50 ug/5 mg/mL TEVA, collyre, flac 2.5 mL";"TIMOLOL EN ASSOCIATION";"flac c-gttes";"flacon compte-gouttes"
3928;"LIQUIGEN 250 ML 573566";"(sans)";"flac";"flacon(s)"
3478;"NUTRITION ENT FLEX 500ML IMPACT ENTERAL SMART 7613033050589";"(sans)";"poche";"poche(s)"
3969;"POUDRE EPAISSISSANTE MAGIC MIX 300G 107500901";"(sans)";"flac";"flacon(s)"
26733;"BRINTELLIX 15 mg, cpr";"(sans)";"cpr";"comprimé(s)"
3788;"LAIT EPAISSI CAROUBE GALLIA BEBE EXP AR 1ER AGE 800G A89817";"(sans)";"pot";"pot(s)"
3789;"LAIT EPAISSI CAROUBE GALLIA BEBE EXP AR 2E AGE 900G A89833";"(sans)";"pot";"pot(s)"
3790;"HYDROLISAT DE PROTEINE PEPTIJUNIOR 1ER AGE 460G 107505001";"(sans)";"pot";"pot(s)"
3791;"HYDROLISAT DE PROTEINE EPAISSI ALLERNOVA AR 400G";"(sans)";"pot";"pot(s)"
11201;"PLACEBO BLEU GELULE";"(sans)";"gel";"gélule(s)"
3792;"LAIT SANS LACTOSE MODILAC EXPERT SL 400G 26065";"(sans)";"pot";"pot(s)"
3944;"LUGOL 1% FL 60ML SOLUTION POUR APPLIC MUQUEUSE";"(sans)";"flac";"flacon(s)"
2101;"COMPLEMENT NUTRITIONNEL MALTODEXTRINE 350G 106247201";"(sans)";"flac";"flacon(s)"
26728;"ALBUMINE HUMAINE NANOCOLLOIDES 0,5MG FL INJ NANO-HSA";"(sans)";"flac";"flacon(s)"
19325;"CAPTOPRIL 1MG/ML SUSPENSION BUVABLE FL 100ML";"(sans)";"flac";"flacon(s)"
3753;"KETOCAL 4:1 NEUTRE 300G 112511";"(sans)";"pot";"pot(s)"
4074;"COCAINE 1G + MENTHOL 1G + PHENOL 1G FL BUC MELANGE DE BONAIN";"(sans)";"flac";"flacon(s)"
3547;"NUTRITION ENT ENFANT < 1AN FL 200 ML INFATRINI 574979";"(sans)";"flac";"flacon(s)"
1741;"COLD CREAM TUBE 50 G CREME";"(sans)";"tube";"tube(s)"
2087;"DERMALIBOUR CREME 50 ML";"(sans)";"tube";"tube(s)"
5945;"DASATINIB 50 mg VIATRIS, cpr";"(sans)";"cpr";"comprimé(s)"
5420;"SERAVIT PEDIATRIC NON AROM  116183";"(sans)";"flac";"flacon(s)"
5407;"SAVON LIQUIDE GLYCERINE SURGRAS FL 200ML";"(sans)";"flac";"flacon(s)"
7773;"CERAT DE GALIEN TUBE 125 ML POMMADE";"(sans)";"pot";"pot(s)"
5530;"BENZOATE SODIUM 1 G/10 ML AMP INJ IV PERF OU BUVABLE";"(sans)";"amp";"ampoule(s)"
3405;"HELIUM USP 34 BARS GAZ REF IAH-09045 33L";"(sans)";"btle";"bouteille(s)"
10549;"GENTAMICINE 15 MG/ML 1.5% FL 10ML COLLYRE";"(sans)";"flac c-gttes";"flacon compte-gouttes"
7544;"MONOGEN 300G 119095";"(sans)";"boite";"boîte(s)"
5995;"STICK LABIAL :602720";"(sans)";"tube";"tube(s)"
31486;"BICARBONATE DE SODIUM 250 MG GELULE";"(sans)";"gel";"gélule(s)"
5558;"SODIUM CHLORURE 500 MG GELULE";"(sans)";"gel";"gélule(s)"
31793;"VERZENIOS 150 mg, cpr";"(sans)";"cpr";"comprimé(s)"
5560;"SODIUM CHLORURE 1 G SACHET";"(sans)";"sachet";"sachet(s)-dose"
7571;"XYLOSE D 25 G SACHET";"(sans)";"sachet";"sachet(s)-dose"
3105;"FORMOL 1/10eme.3,7-4% TAMPONNE PH7 1 LITRE";"(sans)";"flac";"flacon(s)"
2353;"DUOVISC,INTRA-OCUL.GM 1,05 REF.5985SL";"(sans)";"-1";"(sans)"
5568;"SOL DECONTAMINATION ARM II FL 50 ML";"(sans)";"-1";"(sans)"
25630;"LYRICA 20 mg/mL, sol buv, flac 473 mL + srg";"(sans)";"flac";"flacon(s)"
